"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820038490736","Сметана п/е 21% 450г ДК, шт","28.08","30.00","37.00","0","0.00","0.00","0.00"
"2","4820045704505","Молокія Сметана 20% П/Е 370 г","53.25","25.00","67.00","0","12.00","639.00","804.00"
"3","4820062322232","Сметана Радимо 20% 350г","43.75","30.23","57.00","0","13.00","568.75","741.00"
"4","4820156990521","Сметана Баби Олі 370г","32.00","31.25","42.00","0","0.00","0.00","0.00"
"5","4820184340121","сметана 21 відерко 0.45 гощаночка","48.48","35.00","65.00","0","0.00","0.00","0.00"
"6","4820222762663","Сметана 20% Галичанська 370г","56.00","30.36","73.00","0","0.00","0.00","0.00"
"7","4820222762670","Сметана 15% Галичанська 370г","46.00","30.43","60.00","0","1.00","46.00","60.00"
"8","4820222763356","Тершки ТРА 15% 200 г Галичина","30.00","35.00","41.00","0","0.00","0.00","0.00"
"9","4820222763370","Вершки ТРА 10% 200г Галичина","28.00","35.00","38.00","0","0.00","0.00","0.00"
"10","4820226167518","ПРОСТОНАШЕ СМЕТАНА 15% 350г П/Е","51.91","40.00","73.00","0","0.00","0.00","0.00"
"11","4820226169000","Сметана 15% Простонаше 300г","50.19","40.00","71.00","0","0.00","0.00","0.00"
"12","4820226169031","Сметана прстонаше 15 % стакан 180 г","32.69","35.00","44.00","0","1.00","32.69","44.00"
"13","4820241180080","Сметана 21% Подільська 900г","70.32","40.00","99.00","0","0.00","0.00","0.00"
"14","4820241180189","Сметана 21 % 330  г подільська","33.48","40.00","47.00","0","1.00","33.48","47.00"
"15","4820271440024","Сметана 21% Подільська 500г","42.00","40.00","59.00","0","0.00","0.00","0.00"
"16","4820271440123","Сметана 20% Подільська 400г","32.04","32.14","43.00","0","0.00","0.00","0.00"
"17","4820292790016","продукт сметанний сквашений 20 % 0.5","36.24","40.00","51.00","0","0.00","0.00","0.00"
"18","5900512990408","сметанка вершки млековіта 0,5 12%","76.50","35.00","103.00","0","4.00","306.00","412.00"
"19","5900512990835","Вершки млековіта польські 36% 500мл","123.00","35.00","167.00","0","11.00","1,353.00","1,837.00"

