"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4000177026717","Сік капрізон 200 мл","18.91","35.00","26.00","0","0.00","0.00","0.00"
"2","4000177407509","Сік Capri Sonne 0,2л  Мультівітамінний","18.00","27.78","23.00","0","0.00","0.00","0.00"
"3","4820001448566","Вишневий нектар 0.5л Сандора","41.76","31.70","55.00","0","0.00","0.00","0.00"
"4","4820001448603","Мультивітамін нектар 0.5л Сандора","41.76","31.70","55.00","0","2.00","83.52","110.00"
"5","4820001449525","Сік ""Садочок"" яблочно-виноградный 0,2л","12.95","30.00","20.00","0","7.00","90.65","140.00"
"6","4820001449624","Сік Садочок виноградно яблуко 500мл","33.78","25.71","44.00","0","2.00","67.56","88.00"
"7","4820146440395","Сік томатний 1л ""Соки України""","54.00","24.07","67.00","0","1.00","54.00","67.00"
"8","4820146443600","Нектар Добрий Ранок Виноград-яблучн 1л","39.30","30.00","52.00","0","5.00","196.50","260.00"
"9","4820146443624","Нек 1л РАНОК мультифрукт","0.01","31.75","52.00","0","9.00","0.09","468.00"
"10","4820146443839","Сік 1л РАНОК яблу-пол.з мяк.","38.33","30.45","50.00","0","0.00","0.00","0.00"
"11","4820146443891","Сік Добрий Ранок абрикосовий з мякоттю 1л","38.00","26.32","48.00","0","0.00","0.00","0.00"
"12","4820146443952","Сік 1л РАНОК томат.віднов.","51.41","30.00","67.00","0","6.00","308.46","402.00"
"13","4820146443990","Сік Добрий Ранок 1л Банан-Полуниця","39.31","30.00","52.00","0","6.00","235.86","312.00"
"14","4820146444058","Нек 1,9л РАНОК виноград-ябл.","71.30","25.00","93.00","0","0.00","0.00","0.00"
"15","4820146444072","Нек 1,9л РАНОК мультифруктовий","73.09","30.43","95.00","0","0.00","0.00","0.00"
"16","4820146444232","Нектар мультивітамінний Соки України 1л","42.00","23.81","52.00","0","0.00","0.00","0.00"
"17","4820146444249","Соки України мультивітамів 200мл","0.01","21.43","19.00","0","8.00","0.08","152.00"
"18","4820146444256","Соки України мультифруктовий 1л","42.00","23.81","52.00","0","0.00","0.00","0.00"
"19","4820146444300","Виноград Яблоко сік Соки України 200мл","14.00","21.43","17.00","0","0.00","0.00","0.00"
"20","4820146444348","Сік ябл.-виноград. осв. ТМ Губка Боб 0,2л.","17.60","30.00","23.00","0","0.00","0.00","0.00"
"21","4820146444386","Сік 1л РАНОК грушево-яблучний","38.33","30.45","50.00","0","3.00","114.99","150.00"
"22","4820146444591","Сік персиковий з мякоттю 1л","42.00","23.81","52.00","0","3.00","126.00","156.00"
"23","4820146444607","Соки України персиковий 200мл","14.00","21.43","17.00","0","0.00","0.00","0.00"
"24","4820146444669","Сік персиково полуничний Соки України 200мл","14.00","21.43","17.00","0","0.00","0.00","0.00"
