"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820000190084","Минеральная Вода Оболонь+лимон 2,0л","24.62","30.00","32.00","0","0.00","0.00","0.00"
"2","4820000190800","Вода Оболонська+Лимон 1л сильногазована","20.00","40.00","28.00","0","1.00","20.00","28.00"
"3","4820000191111","Напій Ситро 2л Оболонь","45.06","25.00","57.00","0","0.00","0.00","0.00"
"4","4820000193252","Живчик 1л Груша","32.15","24.42","40.00","0","0.00","0.00","0.00"
"5","4820000193719","Вода Лимонад Оболонь 2 л","45.06","30.00","59.00","0","1.00","45.06","59.00"
"6","4820000195423","Напиток ""Живчик"" Яблоко 0,5л газ","22.82","27.27","30.00","0","5.00","114.10","150.00"
"7","4820000195430","Живчик 1л Оболонь","35.11","30.00","46.00","0","12.00","421.32","552.00"
"8","4820000195447","Живчик яблуко 2л газ","53.70","30.00","70.00","0","5.00","268.50","350.00"
"9","4820000195454","Напиток ""Живчик"" Яблоко негазированная 0,5л. к.1009","22.82","27.27","30.00","0","5.00","114.10","150.00"
"10","4820000195461","Живчик 1л негазований Оболонь","35.10","30.00","47.00","0","15.00","526.50","705.00"
"11","4820000195478","Живчик яблуко 2л негазований","53.70","30.00","70.00","0","8.00","429.60","560.00"
"12","4820000199759","Вода мінеральна""Оболонська зі см.лимона та апельсина 1л.","23.47","27.27","30.00","0","0.00","0.00","0.00"
"13","4820000199766","Вода мін."" Оболонська см.лимона та апельсина"" 2л.","34.58","35.00","47.00","0","16.00","553.28","752.00"
"14","4820000451888","Квас Тарас 2л","49.60","40.00","75.00","0","4.00","198.40","300.00"
"15","4820000455909","Квас Хлібний""Квас Тарас Білий""ПЕТ 1,5л","49.75","31.58","66.00","0","1.00","49.75","66.00"
"16","4820000456531","Квас""Квас Тарас Чорний""ПЕТ 1,5л","50.76","30.00","66.00","0","0.00","0.00","0.00"
"17","4820002711102","Квас Старокиївський 2л","57.36","35.00","78.00","0","4.00","229.44","312.00"
"18","4820002713014","живчик оранж 0,33л ж/б","21.00","23.81","26.00","0","0.00","0.00","0.00"
"19","4820002713021","Живчик кола 0.33 жб","15.40","30.00","20.00","0","0.00","0.00","0.00"
"20","4820002713038","Живчик Леемон 0.33 жб","15.40","25.00","20.00","0","0.00","0.00","0.00"
"21","4820002713083","Живчик яблуко 0.33 жб","21.00","23.81","26.00","0","0.00","0.00","0.00"
"22","4820002713564","Б/а Живчик ""з сок. яблука та екстр. валеріани"" 0,33 /бан FIT","21.28","35.00","29.00","0","0.00","0.00","0.00"
"23","4820002713830","Живчик яблуко з екстрактом лаванди 330мл жб","21.28","35.00","29.00","0","0.00","0.00","0.00"
"24","4820002713922","Квас ""Квастейль зі смаком коктейлю"" ""Пінк елефант"" 0,5л","24.50","30.61","32.00","0","0.00","0.00","0.00"
"25","4820003160190","Напій вишня 0.5 скло Микулинці","27.90","32.00","39.00","0","3.00","83.70","117.00"
"26","4820003160275","Напій Апельсин Мукулинецька 0,5л скло","26.19","32.00","39.00","0","0.00","0.00","0.00"
"27","4820003160336","Микулинцькі напої ЛИМОНАД 0,5л.","26.19","32.00","39.00","0","3.00","78.57","117.00"
"28","4820003160725","Б/а напій Лимонад 1 л","29.08","35.00","39.00","0","0.00","0.00","0.00"
"29","4820003160909","Напій Смородина Микуличин 0,5 скло","28.72","32.00","39.00","0","0.00","0.00","0.00"
"30","4820004081609","Напій сильногаз.*Екзотик* Мультивітамін 3л.(Олімпія)","32.10","35.00","43.00","0","1.00","32.10","43.00"
"31","4820004081623","Напій сильногаз.*Лимонадний Джо* 3л.(Олімпія)","0.01","35.00","43.00","0","2.00","0.02","86.00"
"32","4820004081630","Вода Олімпія Японська Груша 3л","32.10","35.00","43.00","0","7.00","224.70","301.00"
"33","4820004082385","Вода солодка Olimpia класік 3 л. сітро","32.10","35.00","43.00","0","3.00","96.30","129.00"
"34","4820004083993","Вода Олімпія 3л Манго Маракуя","25.70","30.00","43.00","0","0.00","0.00","0.00"
"35","4820004084129","Напій сильногаз.*Олімпія* Мохіто Лайм-мята 3л.","32.10","35.00","43.00","0","0.00","0.00","0.00"
"36","4820004084143","олімпія дюшес з соком 3 л.","32.10","40.00","43.00","0","0.00","0.00","0.00"
"37","4820004084174","Олімпія 3л ананас","32.10","40.00","43.00","0","13.00","417.30","559.00"
"38","4820004084198","Вода олімпія грейпфрут і малина 3 л","32.10","41.34","43.00","0","1.00","32.10","43.00"
"39","482000943889","Напій ба лимонад кола пет 1.5л","42.60","40.00","60.00","0","2.00","85.20","120.00"
"40","4820009940598","Напій Умань Лимонад 1,5 л","42.60","40.00","60.00","0","0.00","0.00","0.00"
"41","4820009942998","Вода Умань 0,5л Лимонад пет","19.14","40.00","26.00","0","6.00","114.84","156.00"
"42","4820009943384","Напій ба лимонад мохіто пет 1.5л умань","42.60","40.00","60.00","0","0.00","0.00","0.00"
"43","4820009944244","Напій БА лимонад мохіто 0,5 л","19.14","35.00","26.00","0","5.00","95.70","130.00"
"44","4820009945142","Напій БА лимонад апельсин  0,5 л","19.14","35.00","26.00","0","6.00","114.84","156.00"
"45","4820009945159","Напій ба лимонад апельсин пет 1.5л","42.60","40.00","60.00","0","4.00","170.40","240.00"
"46","4820017002561","Напій безалкогольний негазований з соком зі смаком лимона Моршинська п/пл 1.5л","30.56","36.67","42.00","0","2.00","61.12","84.00"
"47","4820017002585","Вода моршинська зі смаком яблуко 0.5 л","18.53","35.00","25.00","0","6.00","111.18","150.00"
"48","4820017002608","Напій безалкогольний негазований з соком зі смаком яблука Моршинська п/пл 1.5л","31.00","25.81","39.00","0","0.00","0.00","0.00"
"49","4820017002769","Моршинська лимонада з соком Лимонад-Апельсин 1,5 л","46.00","26.09","58.00","0","3.00","138.00","174.00"
"50","4820017002783","Моршинська 0,33 ср/газ напій Лимонада грейпфрут","20.73","35.00","28.00","0","0.00","0.00","0.00"
