"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820001314342","Гірчиця ""Торчин"" козацька гостра 130г","21.50","30.00","28.00","0","5.00","107.50","140.00"
"2","4820001314366","Консерва Гірчиця ""Торчин"" міцна з часником і перцем 130г","21.50","30.00","28.00","0","5.00","107.50","140.00"
"3","4820001314441","Гірчиця ТОРЧИН ДІЖОНСЬКА з цілих зернят негостра 130гр.","21.50","30.00","28.00","0","5.00","107.50","140.00"
"4","4820001314564","Соус ТОРЧИН ПАПРІК з копченою паприкою  200г.","37.00","30.00","49.00","0","2.00","74.00","98.00"
"5","4820001314625","Соус ""Торчин"" Сацебели д/п 200г","37.00","30.00","49.00","0","17.00","629.00","833.00"
"6","4820001316445","Заправка буряко-томатна Торчин","34.00","25.71","44.00","0","4.00","136.00","176.00"
"7","4820001352801","Томатна паста *Чумак* 25% 70г.тетра трикутик","20.00","23.81","27.00","0","8.00","160.00","216.00"
"8","4820015942616","Соус  ""Руна""  Сацебелі  485 гр.","52.50","31.25","69.00","0","8.00","420.00","552.00"
"9","4820015943897","Горчица  ""Руна"" Крепкая  210 гр.","26.50","30.00","35.00","0","6.00","159.00","210.00"
"10","4820015944955","Руна Гірчиця Французька Зерниста 210г","29.50","26.92","38.00","0","12.00","354.00","456.00"
"11","4820016930490","Гурман Томатна паста 485г Дара","47.00","31.11","62.00","0","3.00","141.00","186.00"
"12","4820104282142","Том паста Наш Продукт Херсонська","48.00","30.00","65.00","0","3.00","144.00","195.00"
"13","4820166611621","Томатная паста Класична Кухар Ришелье 480г","63.00","30.16","82.00","0","0.00","0.00","0.00"
"14","4820166616732","Паста томатна ""класична"" 25% Кухар Рішельє 300г","42.00","28.57","54.00","0","0.00","0.00","0.00"
"15","4820166616817","Соус ""Фірмовий"" Кухар Рішельє 460г","35.00","31.43","46.00","0","2.00","70.00","92.00"
"16","4820166616848","Соус Сацебелі твіст 460 г ТМ Кухар Рішельє","47.61","28.00","61.00","0","6.00","285.66","366.00"
"17","4820178461153","Соєвий соус Роял Тигр пл/бут 200г","25.44","32.00","35.00","0","3.00","76.32","105.00"
"18","4820189940142","макМай Паста томатная домашняя 25% сашет 70г","9.12","50.00","15.00","0","13.00","118.56","195.00"
"19","4820189944430","Заправка для борщу МакМай","27.72","30.00","37.00","0","5.00","138.60","185.00"
"20","4820195517413","Соус з банановим пюре та прянощами Pripravka","16.00","25.00","20.00","0","0.00","0.00","0.00"
"21","4820195517529","Соус сацебелі з часником і травами Smakko","45.00","31.11","59.00","0","0.00","0.00","0.00"
"22","4820195517543","Соус шашличний з чорним перцем і часником Smakko","36.00","30.56","47.00","0","1.00","36.00","47.00"
"23","4820195517581","Томатна паста з італійськими травами 25 %  70 г ( пасте міх)","0.01","40.00","30.00","0","2.00","0.02","60.00"
"24","4823096007922","Чумак паста томатна 25% 300г","56.00","25.00","70.00","0","25.00","1,400.00","1,750.00"
"25","4823096008189","Томатна паста чумак 500г","74.00","25.00","93.00","0","5.00","370.00","465.00"
"26","4823105400065","Хрін білий пакет Верес","20.50","31.71","27.00","0","1.00","20.50","27.00"
"27","4823105400515","Хрін ""Верес"" український 130г","20.50","31.71","27.00","0","1.00","20.50","27.00"
"28","4823124600149","Майонезний бургер соус  La pasta","27.84","35.00","38.00","0","3.00","83.52","114.00"
"29","4823124600156","Майонезний соус Подвійний сир 30% ля паста 180 г","27.84","35.00","38.00","0","3.00","83.52","114.00"
"30","4823124600163","Майонезний соус  часниковий 30 % ля паста 180 г","27.84","3.00","36.00","0","1.00","27.84","36.00"
"31","4823127315170","Соус гранатовий ТМ Кітто 200 мл","42.36","30.00","55.00","0","2.00","84.72","110.00"
"32","4823127315187","Соус-заправка ""бальзамік"" кітто","44.00","25.00","55.00","0","1.00","44.00","55.00"
"33","5902166744888","Сік лайма Helcom 380ml","25.00","32.00","33.00","0","0.00","0.00","0.00"
"34","5902166744901","Лимонний сік польський 380мл","35.00","32.00","47.00","0","3.00","105.00","141.00"
"35","7613036213295","Соєвий соус *Торчин* Класичний 190мл.с/б","47.00","30.00","65.00","0","4.00","188.00","260.00"
"36","7613287638007","Салатна Заправка Цезар","27.00","35.00","37.00","0","2.00","54.00","74.00"

