"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820001173574","Приправа ""эко"" розмарин 8г","15.00","46.67","22.00","0","1.00","15.00","22.00"
"2","4820001610222","Дріжджі сухі ""Львівіські"" 12г","9.00","20.00","15.00","0","3.00","27.00","45.00"
"3","4820001610239","Дріжджі сухі, ""Львівіські"", 100 г","32.00","25.00","45.00","0","6.00","192.00","270.00"
"4","4820039290038","Приправа ""Приправка"" перец красный молотый 20г","25.00","24.00","31.00","0","1.00","25.00","31.00"
"5","4820039290137","Приправа ""Приправка"" горчичный порошок 50г","28.00","25.00","35.00","0","1.00","28.00","35.00"
"6","4820039290786","Петрушка ""Приправка"" сушеная","20.00","25.00","25.00","0","4.00","80.00","100.00"
"7","4820039290816","Приправа ""Приправка"" для картофеля","15.00","40.00","21.00","0","10.00","150.00","210.00"
"8","4820039290830","Стер. парою  приправа до шашлику 30 г","23.39","50.00","35.00","0","10.00","233.90","350.00"
"9","4820039290908","Приправа ""Приправка"" для курицы","15.00","46.67","22.00","0","3.00","45.00","66.00"
"10","4820040070476","Гірчиця насіння 18г ТМ Нектар","2.00","150.00","5.00","0","0.00","0.00","0.00"
"11","4820055560566","Лимонна кислота 25г","4.00","100.00","8.00","0","0.00","0.00","0.00"
"12","4820077251404","МІВІНА ПРИПРАВА з куркою 10г","2.00","50.00","3.00","0","7.00","14.00","21.00"
"13","4820095390208","Крохмаль картопляний 200г","17.00","30.00","26.00","0","19.00","323.00","494.00"
"14","4820095390260","Великі сухарі панірувальні 500г","26.00","26.92","33.00","0","16.00","416.00","528.00"
"15","4820113380617","Цукрова пудра Riolend 200г.","11.00","35.00","17.00","0","5.00","55.00","85.00"
"16","4820149482200","Приправа ""Для шашлыка ""Чемпион""30г","16.00","25.00","20.00","0","0.00","0.00","0.00"
"17","4820149482248","Приправа  Каррі 30 гр ""Чемпіон""","16.00","25.00","20.00","0","2.00","32.00","40.00"
"18","4820149482453","Мускатний горіх мелений.15г ""Чемпіон""","10.00","100.00","20.00","0","5.00","50.00","100.00"
