"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4820041640173","Файна Бульба з смаком бекону 30гр.","13.84","40.00","20.00","0","9.00","124.56","180.00"
"2","4820041640203","Файна бульба зі смаком курки гриль 30гр.","13.84","33.33","20.00","0","1.00","13.84","20.00"
"3","4820041640210","Файна бульба з сметаною та цибулею","13.84","40.00","20.00","0","5.00","69.20","100.00"
"4","4820051240998","Кукурудзяні кільця зі смаком цибулі 40гр","9.36","60.26","15.00","0","0.00","0.00","0.00"
"5","4820051241018","Кукурудзяні кільця зі смаком кальмара 40гр","10.26","60.26","15.00","0","0.00","0.00","0.00"
"6","4820051241223","Кукурудзяні кільця зі смаком цибулі гонзо 150 г","0.01","0.00","44.00","0","0.00","0.00","0.00"
"7","4820051241254","Кукурудзяні кільця зі смаком грибів 150 г гонзо","0.01","0.00","44.00","0","0.00","0.00","0.00"
"8","4820051241940","кукурудзяні кільця сі смаком сметани і зелені  гонзо 75 г","0.01","0.00","20.00","0","0.00","0.00","0.00"
"9","4820051241957","Кукурудзяні кільця зі смаком кальмара гонзо 75 г","0.01","0.00","20.00","0","0.00","0.00","0.00"
"10","4820051241964","Кукурудзяні трикутники зі смаком бекону гонзо 70 г","0.01","0.00","20.00","0","0.00","0.00","0.00"
"11","4820051242039","Кукурудзяні кільця зі смаком сметани і зелені 40гр","10.26","40.00","15.00","0","1.00","10.26","15.00"
"12","4820051242060","Кукурудзяні кільця зі смаком кальмара гонзо 150 г","0.01","0.00","44.00","0","0.00","0.00","0.00"
"13","4820051242084","Кукурудзяні трикутники зі смаком сиру гонзо 150 г","0.01","0.00","44.00","0","0.00","0.00","0.00"
"14","4820051242329","Кукурудзяні кільця гонзо зі смаком кленового сиропу і копченої паприки 40 г","10.26","35.00","15.00","0","2.00","20.52","30.00"
"15","4820087820935","Палетті Беконтик з беконом 100 гр","27.56","35.00","37.00","0","5.00","137.80","185.00"
"16","4820087821161","Снеки луковые кольца сметана и зелень 70г","20.00","30.00","26.00","0","0.00","0.00","0.00"
