"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","000000006354","Постільна білизна євро 06-35-30 Koloco","800.00","62.50","1,300.00","0","1.00","800.00","1,300.00"
"2","000000064705","Постільна білизна Koloco 06-470-20","900.00","55.56","1,400.00","0","0.00","0.00","0.00"
"3","000000066723","постіль євро колоко фланель","987.00","55.00","1,530.00","0","1.00","987.00","1,530.00"
"4","000000067126","постіль 2 спальня варм","956.00","55.00","1,500.00","0","1.00","956.00","1,500.00"
"5","000000889100","Набір кухонних рушників 2шт KOLOCO","120.00","100.00","300.00","0","3.00","360.00","900.00"
"6","1000188","Рушник-халат Solafa","250.00","56.00","390.00","0","0.00","0.00","0.00"
"7","1000437","Рушник банний чоловічий","250.00","60.00","400.00","0","1.00","250.00","400.00"
"8","4820001523737","Ковдра зимова 200х200 см ARCTIC LUXE VS-B2-2.5","600.00","66.67","1,000.00","0","1.00","600.00","1,000.00"
"9","6990001476420","ПЛЕД СМУГАСТИЙ 200Х220 СМ ""Ванільна смужка"" (Versailes) VS-BF-4400GS","600.00","50.00","900.00","0","1.00","600.00","900.00"
"10","6990001479674","VS-PR-4400M Плед рельєфний 200х220 см ""Молочна пінка"" (VERSAILES)","600.00","58.33","950.00","0","1.00","600.00","950.00"
"11","6990001479704","Плед рельєфний 200x220 см Атлантида Versailes VS-PR-4400A","600.00","66.67","1,000.00","0","1.00","600.00","1,000.00"
"12","6990001479735","Плед рельєфний 200x220 см Капучіно Versailes VS-PB-4400C","600.00","66.67","1,000.00","0","1.00","600.00","1,000.00"
"13","7700000010698","Комплект постільної білизни ""Двоспальний"" 2.0 комплект","700.00","57.14","1,100.00","0","1.00","700.00","1,100.00"
"14","7700000010704","Постільна білизна Liza","800.00","68.75","1,350.00","0","0.00","0.00","0.00"
"15","7700000010711","Бамбукова ковдра  cotton box quilt yorgan 155х215","500.00","60.00","800.00","0","1.00","500.00","800.00"
"16","7700000010827","Комплект рушників colorful home","500.00","50.00","750.00","0","0.00","0.00","0.00"
"17","7700000010834","Набір рушників Koloco капучіно","450.00","53.33","690.00","0","1.00","450.00","690.00"
"18","7700000010841","Покривало 220х240 темно-сіре пухнасте ERICO","1,200.00","50.00","1,800.00","0","1.00","1,200.00","1,800.00"
"19","7700000012616","Набір рушників L M 2шт","270.00","60.00","450.00","0","3.00","810.00","1,350.00"
"20","7700000012791","постіль 2х спальна 180*200 №812","870.00","55.00","1,349.00","0","1.00","870.00","1,349.00"

