"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4803936113037","Екс фольга 20м","18.00","66.67","30.00","0","1.00","18.00","30.00"
"2","4820012345601","Папір для випікання білий силікон","9.00","122.22","20.00","0","4.00","36.00","80.00"
"3","4820026430492","засіб їжак гель для ван та туалетів 870г","41.00","35.00","55.00","0","0.00","0.00","0.00"
"4","4820026430720","засіб їжак антинагар","34.00","35.00","46.00","0","3.00","102.00","138.00"
"5","4820030032019","8004100041217Пергамент д/выпечки силиконовый5м Смачне життя","14.00","42.86","20.00","0","0.00","0.00","0.00"
"6","4820033370026","Крышка Смакота ТО-82 (20штук) литограф.","2.50","100.00","5.00","0","60.00","150.00","300.00"
"7","4820042420163","Кришка металева Таламус","1.66","100.00","3.00","0","692.00","1,148.72","2,076.00"
"8","4820048480185","губка кухонна фрекенбок 5+1 максіма","6.50","100.00","15.00","0","27.00","175.50","405.00"
"9","4820151881855","Силіконовий паргамент 50м freepack","200.00","25.00","250.00","0","0.00","0.00","0.00"
"10","4820185440097","Кришка для консервування Юлінка","2.00","150.00","5.00","0","102.00","204.00","510.00"
"11","4820252360198","Плівка харчова 20м SunSon","15.00","100.00","30.00","0","2.00","30.00","60.00"
"12","4820268103611","плин сарма гель актив 500","38.00","35.00","51.00","0","4.00","152.00","204.00"
"13","4820268103666","сарма плин для посуди 500","38.00","35.00","51.00","0","0.00","0.00","0.00"
"14","4820269840027","Фольга 50м Limax","144.00","55.00","225.00","0","2.00","288.00","450.00"
"15","4823071659900","Губка кухонна ФБ пориста стильні кольори","7.00","100.00","15.00","0","0.00","0.00","0.00"
"16","4880201379046","Фольга алюмін. Povarov 10м","25.00","34.62","40.00","0","0.00","0.00","0.00"
"17","5123456789017","Рукав д/запекания 3м з микропорами","8.00","100.00","15.00","0","6.00","48.00","90.00"
"18","5997844301033","губки до посуди еко","7.00","100.00","15.00","0","3.00","21.00","45.00"
"19","5998466114056","велдоне запаска 1л кухня","115.00","35.00","155.00","0","1.00","115.00","155.00"
"20","7700000011121","Клейонка в рулоні на стіл 1м","220.00","36.36","300.00","0","1.00","220.00","300.00"
"21","7700000011138","Клейонка в рулоні на стіл 90см","190.00","26.32","240.00","0","1.00","190.00","240.00"
"22","7700000011190","Кришка пластмасова","1.00","200.00","3.00","0","189.00","189.00","567.00"
"23","7700000011572","Медична маска","3.00","66.67","5.00","0","25.00","75.00","125.00"
"24","7700000011596","Наклейки на яйця","7.00","42.86","10.00","0","1.00","7.00","10.00"
"25","7700000011619","Форма на паску велика","15.00","33.33","20.00","0","0.00","0.00","0.00"
"26","7700000011626","Форма на паску середня","15.00","33.33","20.00","0","10.00","150.00","200.00"
"27","7700000011633","Форма на паску мала","12.00","25.00","15.00","0","0.00","0.00","0.00"
"28","7700000011640","Посипка на паску","4.00","33.33","7.00","0","17.00","68.00","119.00"
"29","8690506494582","милот дуру фреш сенсатив 150","22.00","50.00","33.00","0","16.00","352.00","528.00"
"30","9780201373509","Плівка стрейч 30 см *450 гр","68.00","50.00","102.00","0","0.00","0.00","0.00"

