"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","000000017619","Мікрофібра 30х30","8.00","87.50","15.00","0","50.00","400.00","750.00"
"2","132303198013","Super Luxe Пакети для сміття, 35 л, 15 шт.","13.00","53.85","20.00","0","4.00","52.00","80.00"
"3","2980032345677","Пакети для сміття 70х110см Super luxe 120l 10шт","25.00","40.00","35.00","0","0.00","0.00","0.00"
"4","2998500045059","Пакети для сміття 240л 5штук Super luxe","40.00","50.00","60.00","0","0.00","0.00","0.00"
"5","4066447668773","Серветки мікрофібра професімо 18х20","15.00","100.00","30.00","0","10.00","150.00","300.00"
"6","4066447716689","Серветки мікрофібра професімо 38х38","12.50","100.00","25.00","0","15.00","187.50","375.00"
"7","4311536940729","Гуд гастік стрика Тряпки","15.00","100.00","30.00","0","6.00","90.00","180.00"
"8","4820012340224","Пакети мусорні ""Помічниця"" 240 л. 10шт.","105.00","50.00","160.00","0","5.00","525.00","800.00"
"9","4820185120159","Серветки віскоза Profit Pro","20.00","50.00","30.00","0","0.00","0.00","0.00"
"10","4820185122436","Пакети для сміття 35л 15штук Super luxe","13.00","66.67","22.00","0","15.00","195.00","330.00"
"11","4820185122443","Пакети для сміття 60л 10 штук Super luxe","10.00","66.67","20.00","0","4.00","40.00","80.00"
"12","4820252360013","Скребок до миття посуду","6.50","114.29","15.00","0","29.00","188.50","435.00"
"13","4820269840010","Дротик спіральний","4.00","150.00","10.00","0","0.00","0.00","0.00"
"14","4823071642285","салфетки вологі суперфреш120","37.00","38.00","51.00","0","15.00","555.00","765.00"
"15","4823098407522","Губки Кухонні Chisto 1шт Веселка","5.00","100.00","10.00","0","0.00","0.00","0.00"
"16","5900942990795","Серветка мікрофібра зося 35х35","8.75","80.00","16.00","0","15.00","131.25","240.00"
"17","5900942990887","Серветки мікрофібра зося 50х36","5.00","100.00","10.00","0","30.00","150.00","300.00"
"18","5903355152590","Губка кухонна Zosia польща","4.00","100.00","8.00","0","0.00","0.00","0.00"
"19","5997844303679","скребок дротик BONUS 2шт","35.00","57.14","55.00","0","4.00","140.00","220.00"
"20","7700000010810","Сітка для кухонної раковини","3.00","233.33","10.00","0","4.00","12.00","40.00"
"21","7700000012098","Дротик сітка 3шт","11.50","30.43","15.00","0","1.00","11.50","15.00"

