"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","18231274","Насіння соняшника солоне 140 г Ласунчик","21.78","40.00","34.00","0","4.00","87.12","136.00"
"2","2003500100308","Насіння капусти ""Mirso F1"" 50г, Richo f1","16.00","56.25","25.00","0","6.00","96.00","150.00"
"3","2003500100322","Капуста ""Дует Агресор F1""","18.00","44.44","26.00","0","5.00","90.00","130.00"
"4","2003500100681","Цибуля ""D`aprile"" 5г","16.00","56.25","25.00","0","0.00","0.00","0.00"
"5","2003500100698","Насіння моркви ""Королева осені"" 15г","20.00","50.00","30.00","0","0.00","0.00","0.00"
"6","2003500101282","Помідор ""Рожевий велетень"" 0.3г,томат ""Cleota Mix"" 0.15г","16.00","56.25","25.00","0","5.00","80.00","125.00"
"7","2730000000189","капуста харківська зимова","12.00","108.33","25.00","0","1.00","12.00","25.00"
"8","3055577453428","Насіння дині 8 шт mazin f1","21.00","56.25","30.00","0","1.00","21.00","30.00"
"9","4525675785626","Цвітна капуста ""Broccoli purple magic F1""","16.00","56.25","25.00","0","2.00","32.00","50.00"
"10","4747855757210","Капуста ""Savoy Cabbage estoril F1"" 15г","16.00","56.25","25.00","0","1.00","16.00","25.00"
"11","4820182060182","Ядро СанСанич 50 г","11.00","40.00","16.00","0","0.00","0.00","0.00"
"12","4820192660051","Томат  хурма  0,3г","16.00","56.25","25.00","0","5.00","80.00","125.00"
"13","4820192660068","насіння помідорів ромова баба","16.00","56.25","25.00","0","1.00","16.00","25.00"
"14","4820192660082","насіння помідорів жорик-обжорик zlata","16.00","56.25","25.00","0","6.00","96.00","150.00"
"15","4820192660129","Редиска ""Престо"" 10г","16.00","56.25","25.00","0","6.00","96.00","150.00"
"16","4820192660150","Томати ""Багата хата""  0,3г","15.00","33.33","20.00","0","6.00","90.00","120.00"
"17","4820192660167","Салат ""Айзерг хрусткий"" 3г","16.00","56.25","25.00","0","0.00","0.00","0.00"
"18","4820192660181","Салат ""Вітамінна грядка"" 3г","16.00","56.25","25.00","0","0.00","0.00","0.00"
"19","4820192660198","Насіння томату ""Червоний велетень"" 0.3г","16.00","56.25","25.00","0","1.00","16.00","25.00"
"20","4820192660211","Шпінат ""Фантазія"" 5г","16.00","56.25","25.00","0","0.00","0.00","0.00"
"21","4820192660228","Насіння цибулі ""Геркулес F1"" 7г, ""Штутгартен різен"" 8г","20.00","50.00","30.00","0","3.00","60.00","90.00"
"22","4820192660273","Іберіс 1г","15.00","33.33","20.00","0","0.00","0.00","0.00"
"23","4820192660280","Редиска ""Кармен"" 10г, перець солодкий","16.00","56.25","25.00","0","5.00","80.00","125.00"
"24","4820192660334","капуста ""Парел F1"" 40 нас","16.00","56.25","25.00","0","1.00","16.00","25.00"
"25","4820192660341","Насіння капусти ""Бірюза"" 3г, ""Глорія"" 40нас., капуста ""Рексома F1"" 40нас","20.00","50.00","30.00","0","8.00","160.00","240.00"
"26","4820192660365","Насіння КапустаБілоголоваЛежка Premium 300шт.Zlata","16.00","56.25","25.00","0","1.00","16.00","25.00"
"27","4820192660389","Капуста ""Білосніжка"" 3г","16.00","56.25","25.00","0","4.00","64.00","100.00"
"28","4820192660396","НасінняКапусти ""Білоголова Ольга"" 2.5г,рукола 5г","20.00","50.00","30.00","0","6.00","120.00","180.00"
"29","4820192660440","насіння капусти АМАГЕР 611, ДАУЕР","16.00","56.25","25.00","0","4.00","64.00","100.00"
"30","4820192660457","насіння капусти ""УКРАЇНСЬКА ОСІНЬ"",""Білоголова"" 500шт","16.00","56.25","25.00","0","9.00","144.00","225.00"
"31","4820192660495","Горох ""Пакет фермер"" 50г,коріандер 10г, капуста 4 сезони гарантія f1","20.00","50.00","30.00","0","4.00","80.00","120.00"
"32","4820192660518","Базилік ""Зелений"" 1г","16.00","56.25","25.00","0","0.00","0.00","0.00"
"33","4820192660594","Кукурудза цукрова ""Суперсолодка Раня Насолода F1"" 15г","16.00","56.25","25.00","0","1.00","16.00","25.00"
"34","4820192660600","Соняшник махровий 1.5г","15.00","33.33","20.00","0","0.00","0.00","0.00"
"35","4820192660679","Кабачок цукіні ""Ранній Красавчик"" 15г","20.00","50.00","30.00","0","0.00","0.00","0.00"
"36","4820192660693","Насіння кабачків ""Кабачок кущовий"" 15г","16.00","56.25","25.00","0","0.00","0.00","0.00"
"37","4820192660709","Насіння кабачків ""Кабачок Грибівський"" 15","16.00","56.25","25.00","0","1.00","16.00","25.00"
"38","4820192660808","Морква зимова найсмачніша 15гр","20.00","50.00","30.00","0","0.00","0.00","0.00"
"39","4820192660839","Морква шантане 15гр","20.00","50.00","30.00","0","5.00","100.00","150.00"
"40","4820192660853","Морква Без серцевини 15г","20.00","50.00","30.00","0","0.00","0.00","0.00"
"41","4820192660860","Морква ням-ням 15гр","20.00","50.00","30.00","0","10.00","200.00","300.00"
"42","4820192660877","морква королева осені 15гр","15.00","100.00","30.00","0","1.00","15.00","30.00"
"43","4820192660884","Морква червоний велетень 15гр","20.00","50.00","30.00","0","0.00","0.00","0.00"
"44","4820192660907","Насіння огірка Китайський всесезонний F1 30нас.","20.00","50.00","30.00","0","2.00","40.00","60.00"
"45","4820192660914","Кавун ""Мішутка"" 2.5г","20.00","50.00","30.00","0","6.00","120.00","180.00"
"46","4820192660952","Кавун ""Талісман"" 2.5г","20.00","50.00","30.00","0","8.00","160.00","240.00"
"47","4820192660969","Насіння кавуна Кримсон світ 3г","20.00","50.00","30.00","0","1.00","20.00","30.00"
"48","4820192660990","Насіння Гарбуз РожевийБанан 8г","20.00","50.00","30.00","0","6.00","120.00","180.00"
"49","4820192661010","Капуста ""агресор F1"" 40 нас","16.00","56.25","25.00","0","10.00","160.00","250.00"
"50","4820192661027","Морква канада 10г","20.00","50.00","30.00","0","0.00","0.00","0.00"
"51","4820192661058","Капуста ""Новарія F1"" 25нас","16.00","56.25","25.00","0","1.00","16.00","25.00"
"52","4820192661072","Салат одеський ""кучерявець"" 5г","16.00","56.25","25.00","0","0.00","0.00","0.00"
"53","4820192661089","Насіння дині ""Зваба"" 30нас","20.00","50.00","30.00","0","7.00","140.00","210.00"
"54","4820192661102","Базилік ""6 Ароматів"" 1.5г","16.00","56.25","25.00","0","0.00","0.00","0.00"
"55","4820192661119","Морква Оленка 15г","20.00","50.00","30.00","0","6.00","120.00","180.00"
