"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1002","Грейпфрут","95.00","50.00","165.00","1","1.18","112.29","195.03"
"2","1003","Банан","60.52","42.86","88.00","1","3.27","197.66","287.41"
"3","1004","Лимон","110.00","40.00","180.00","1","2.65","291.94","477.72"
"4","1005","Мандарин","70.00","47.14","108.00","1","0.00","0.00","0.00"
"5","1007","Ківі","185.00","50.00","280.00","1","2.31","426.61","645.68"
"6","1008","Гранат","140.00","39.29","195.00","1","0.00","0.00","0.00"
"7","1009","Апельсин","60.00","40.00","88.00","1","6.41","384.78","564.34"
"8","1010","Груша","85.00","55.00","125.00","1","0.00","0.00","0.00"
"9","1131","Яблуко червоне","30.00","50.00","50.00","1","0.00","0.00","0.00"
"10","1174","Яблуко жовте","27.00","60.00","40.00","1","0.00","0.00","0.00"
"11","1222","Виноград","200.00","40.00","300.00","1","0.00","0.00","0.00"
"12","1238","Баклажан свіж","80.00","40.00","120.00","1","1.79","143.04","214.56"
"13","1257","персик","125.00","50.00","185.00","1","5.32","664.75","983.83"
"14","1262","Абрикос","100.00","50.00","170.00","1","0.00","0.00","0.00"
"15","1263","Інжирний персик","145.00","45.00","210.00","1","0.00","0.00","0.00"
"16","1271","черешня свіжа","80.00","80.00","150.00","1","0.00","0.00","0.00"
"17","1278","абрикос ананасовий","80.00","50.00","135.00","1","2.36","188.72","318.47"
"18","1295","лохина","135.00","60.00","216.00","1","0.98","132.30","211.68"
"19","6972896280061","Помело","100.00","52.00","152.00","1","0.00","0.00","0.00"
"20","7700000012326","Авокадо","30.00","50.00","55.00","0","0.00","0.00","0.00"
"21","7700000012456","полуниця свіжа","130.00","45.00","200.00","1","0.00","0.00","0.00"
"22","8904368525934","Виноград фасований білий 500 г","110.00","50.00","190.00","0","0.00","0.00","0.00"

