"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","7700000010018","Хліб Раменський600г","23.00","25.00","29.00","0","2.00","46.00","58.00"
"2","7700000010025","Багет 350г","20.00","27.78","25.00","0","4.00","80.00","100.00"
"3","7700000010032","Хліб з Висівкою 600г","23.00","23.81","29.00","0","0.00","0.00","0.00"
"4","7700000010049","Хліб Закарпатський Житній650г","21.00","23.81","26.00","0","0.00","0.00","0.00"
"5","7700000010056","Хліб Сирний 550г","26.00","25.00","33.00","0","1.00","26.00","33.00"
"6","7700000010063","ХлібЗерновий550г","26.00","25.00","33.00","0","0.00","0.00","0.00"
"7","7700000010070","ХлібПоліський Круглий","27.00","25.00","34.00","0","0.00","0.00","0.00"
"8","7700000010087","Хліб Кукурудзяний 600г","26.00","25.00","33.00","0","0.00","0.00","0.00"
"9","7700000010094","Сонечко350г","21.00","25.00","27.00","0","0.00","0.00","0.00"
"10","7700000010100","Маківник 300г","29.00","25.00","37.00","0","3.00","87.00","111.00"
"11","7700000010117","Сирне Сонечко 300г","29.00","25.00","37.00","0","0.00","0.00","0.00"
"12","7700000010131","Паска 0.35кг","100.00","40.00","140.00","0","0.00","0.00","0.00"
"13","7700000010148","Паска 0.2кг","70.00","40.00","100.00","0","0.00","0.00","0.00"
"14","7700000010155","Хліб Бородинський","27.00","30.00","35.00","0","0.00","0.00","0.00"
"15","7700000012074","Хліб домашній березина","23.00","26.09","29.00","0","4.00","92.00","116.00"
"16","7700000012135","Бритварник 1200г","44.00","25.00","55.00","0","0.00","0.00","0.00"
"17","7700000012265","Рогалик з кремом 90г","15.00","30.00","20.00","0","0.00","0.00","0.00"
"18","Піца березина","Піца березина","11.00","60.00","18.00","0","3.00","33.00","54.00"
"19","Хліб Церковний","Хліб Церковний","27.00","37.00","40.00","0","0.00","0.00","0.00"

