"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","7700000010124","Хліб білий ов.","27.00","18.52","0.00","0","0.00","0.00","0.00"
"2","7700000010186","Хліб житн.пшен. форм.","30.00","23.00","37.00","0","0.00","0.00","0.00"
"3","7700000010247","Хліб з кунжутом","30.00","23.00","37.00","0","3.00","90.00","111.00"
"4","7700000010254","Хліб з кунжутом різан.","29.00","20.69","35.00","0","0.00","0.00","0.00"
"5","7700000010292","Хліб ""Козацький"" ( солодовий)","36.00","23.00","45.00","0","0.00","0.00","0.00"
"6","7700000012104","Хліб з маком","30.00","25.00","38.00","0","2.00","60.00","76.00"
"7","7700000012111","Батон","30.00","25.00","38.00","0","0.00","0.00","0.00"
"8","7700000012128","Хліб ""Гречаний""","32.00","26.67","41.00","0","0.00","0.00","0.00"
"9","7700000012807","булочка хот-дог Стасюк 5шт","40.00","40.00","56.00","0","0.00","0.00","0.00"

