"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","20318284","Ср-во для чистки кухни,В5,750мл. W5","48.00","31.25","63.00","0","1.00","48.00","63.00"
"2","21204392","Ополіскувач ленор кондиц 675 мл","100.00","35.00","135.00","0","2.00","200.00","270.00"
"3","2200000279392","Щітка WW00878","25.00","40.00","35.00","0","0.00","0.00","0.00"
"4","3800024047893","Пральний порошок Savex color 2.25kg","210.00","26.19","265.00","0","0.00","0.00","0.00"
"5","3800024048456","Пральний порошок дитячий Teo Bebe 2,25kg","250.00","20.00","300.00","0","1.00","250.00","300.00"
"6","3800024049224","Пральний порошок для біл. та кол. Savex автомат 0.3кг","35.00","28.57","45.00","0","1.00","35.00","45.00"
"7","3800024049248","Пральний порошок для біл. та кол. Savex ручне прання 0.3кг","30.00","33.33","40.00","0","0.00","0.00","0.00"
"8","3838824086750","Шампунь Шаума жіночий 400 мл","84.00","35.00","113.00","0","2.00","168.00","226.00"
"9","4010355489241","Denkmit Glasreiniger 1л  Спрей для чищення вікон","70.00","30.00","91.00","0","1.00","70.00","91.00"
"10","4056489563235","Засіб для чищення ванни W5 Nature, 1л","62.00","30.65","81.00","0","3.00","186.00","243.00"
"11","4084500644946","MR PROPER Рідк. миюч. засіб для прибирання підлоги та стін Делікатна прибирання 1л ЛАВАНДА","117.00","29.91","152.00","0","0.00","0.00","0.00"
"12","4251415300643","Gallus для натирання мебелів 750 мл","88.00","30.68","115.00","0","0.00","0.00","0.00"
"13","4260145996491","Повер ваш спрей для кабін Kalkloser 750ml","70.00","42.86","100.00","0","0.00","0.00","0.00"
"14","4820003542996","засіб для коврів сан клін 42996 універсал розпил","79.00","35.00","107.00","0","3.00","237.00","321.00"
"15","4820017660433","""ПАРУС БІО"" Відбіл Біо д біл ткан кисн 200 гр","26.00","53.85","40.00","0","9.00","234.00","360.00"
"16","4820017660457","Плямовивідник Парус Біо 200г. д/кольорових тканин","25.00","40.00","35.00","0","0.00","0.00","0.00"
"17","4820026430706","Дезинф.ср-во Ёж-гель 500мл д/ванн  Морской","27.00","33.33","36.00","0","0.00","0.00","0.00"
"18","4820026890012","Фс белизна оникс калушанка 950 гр (12)","35.00","28.57","45.00","0","2.00","70.00","90.00"
"19","4820031460019","Засіб для зняття лаку  екстрактом ромашки Ноготок 50 мл","25.00","60.00","40.00","0","2.00","50.00","80.00"
"20","4820035900160","Дихлофос распылитель Смерть вредителям 500мл","25.00","60.00","40.00","0","0.00","0.00","0.00"
"21","4820035900177","Крисина смерть 100г","15.00","66.67","25.00","0","72.00","1,080.00","1,800.00"
"22","4820035900184","Крисина смерть 200г","30.00","50.00","45.00","0","0.00","0.00","0.00"
"23","4820051290177","Ср-во для мытья стекол ""Блитз кристал""синий(запаска)500мл.","20.00","25.00","25.00","0","4.00","80.00","100.00"
"24","4820051294045","Кріт рідкий для чищення труб 1л","36.00","38.89","50.00","0","2.00","72.00","100.00"
"25","4820077610010","Вибілюючий засіб ""Білизна-МілаМ"" 1л *6","38.00","31.58","50.00","0","0.00","0.00","0.00"
