"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","1037","Вафлі вагові світлі Ласощі Житомир","154.00","29.87","200.00","1","0.62","96.10","124.80"
"2","1038","Печиво наполеон фасоване grona original","120.10","40.00","169.00","1","4.17","500.94","704.90"
"3","1039","Халва вагова фасована","109.00","30.28","145.00","1","0.00","0.00","0.00"
"4","1040","Вафлі вагові шоколад","122.00","29.51","158.00","1","0.00","0.00","0.00"
"5","1041","Бамбукові палички","165.00","30.30","215.00","1","0.00","0.00","0.00"
"6","1042","Печиво Зірочка з халвою","155.00","35.00","210.00","1","0.00","0.00","0.00"
"7","1084","Цукерки Ніколь Харківський бісквт","228.00","29.82","296.00","1","0.00","0.00","0.00"
"8","1085","Цукерки Червоний мак Рошен","396.60","35.00","535.00","1","1.00","396.60","535.00"
"9","1086","Цукерки Корівка рошен","143.30","35.00","190.00","1","4.22","604.73","801.80"
"10","1087","Цукерки Бабусині казки","218.15","35.00","310.00","1","0.18","39.27","55.80"
"11","1088","Цукерки Johnny Krocker з начинкою зі смаком шоколаду","242.90","35.00","328.00","1","1.61","392.04","529.39"
"12","1089","Цукерки Вечірнє полум'я Sun Life","178.00","29.78","231.00","1","0.00","0.00","0.00"
"13","1090","Цукерки Johnny Krocker з начинкою зі смаком молока","242.90","35.00","328.00","1","0.91","221.04","298.48"
"14","1091","Цукерки шоколадні ""Виноград"" Харківський бісквіт на спирту","570.20","35.00","770.00","1","0.84","476.69","643.72"
"15","1092","Цукери Biguin ABK","354.00","29.94","460.00","1","0.00","0.00","0.00"
"16","1093","Цукерки шоколадні La crema Харківський бісквіт","458.00","29.91","595.00","1","0.13","61.37","79.73"
"17","1094","Цукерки ""Мигдаль"" харківський бісквіт","354.00","29.94","460.00","1","0.00","0.00","0.00"
"18","1095","Цукерки шоколадні ""Ліщина"" рошен","396.90","30.00","520.00","1","0.00","0.00","0.00"
"19","1096","Цукерки шоколадні ""Паризька весна"" харківський бісквіт","525.00","30.10","683.00","1","0.32","169.05","219.93"
"20","1097","Цукерки Krock солена карамель рошен","214.55","35.00","290.00","1","2.00","429.10","580.00"
"21","1098","Цукерки ""батончики з фруктозою"" дієтичне харчування","269.00","30.11","350.00","1","0.98","264.16","343.70"
"22","1099","Цукерки ""Курага"" Toniya","265.00","30.19","345.00","1","0.00","0.00","0.00"
"23","1100","Цукерки фундук Харківський бісквіт","404.00","29.95","525.00","1","0.00","0.00","0.00"
"24","1101","Цукерки ""Червоний мак"" Prestiqe","246.00","30.08","320.00","1","0.00","0.49","0.64"
"25","1102","Цукерки ""Truffle"" харківський бісквіт","505.00","29.90","656.00","1","1.47","744.37","966.94"
"26","1104","Цукерки ""Cola"" харківський бсквіт","116.00","30.17","151.00","1","0.00","0.00","0.00"
"27","1105","Цукерки ""Молочна капля"" рошен","148.20","35.00","200.00","1","2.00","296.40","400.00"
"28","1106","Цукерки ""Трюфель молочний"" АВК","283.35","35.00","390.00","1","0.00","0.00","0.00"
"29","1107","Цукерки ""Ірис"" морська сіль","159.00","29.56","206.00","1","0.12","19.40","25.13"
"30","1108","Цукерки ""Bim Bom"" рошен","114.80","35.00","155.00","1","1.14","130.87","176.70"
"31","1109","Цукерки ""Veloria"" Харківський бісквіт","175.00","29.71","227.00","1","1.99","347.90","451.28"
"32","1110","Цукерки ""Cream Latte"" харківський бісквіт","210.00","30.00","273.00","1","0.66","138.60","180.18"
"33","1111","Цукерки ""Snickers mini""","570.00","31.58","750.00","1","0.00","0.00","0.00"
"34","1112","Цукерки ""Тузя""  Лукас","211.00","30.33","275.00","1","0.00","0.00","0.00"
"35","1113","Цукерки ""Senti"" Тоня","0.01","30.24","267.00","1","1.46","0.01","389.29"
"36","1114","Цукерки ""Еспресо"" СтимуЛ","198.00","29.80","257.00","1","0.00","0.00","0.00"
"37","1115","Цукерки ""Волинський трюфель"" Barva","230.00","30.43","300.00","1","0.00","0.00","0.00"
"38","1116","Цукерки ""Золота лінія"" Конті","209.00","29.67","271.00","1","0.00","0.00","0.00"
"39","1117","Цукерки ""Золота лінія"" зі смаком апельсину Конті","209.00","29.67","271.00","1","0.00","0.00","0.00"
"40","1118","Цукерки ""Meteorite"" Pioni","196.00","29.59","254.00","1","0.00","0.00","0.00"
"41","1120","Цукерки ""Монблан"" крем-праліне  з лісовим горіхом рошен","573.00","30.02","745.00","1","0.00","0.00","0.00"
"42","1121","Цукеки шоколадні ""Монблан"" з мигдалем та кокосовим кремом","573.00","30.02","745.00","1","0.00","0.00","0.00"
"43","1122","Цукерки ""Cherry"" на спирту харківський бісквіт","570.00","30.18","742.00","1","0.00","0.00","0.00"
