"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","4791038670155","Чай чорн.*Chelton*англ.міцн. 100г.","99.00","25.25","124.00","0","1.00","99.00","124.00"
"2","4792055018043","Чай Chelton 25пак Scottish breakfast","51.00","25.49","64.00","0","0.00","0.00","0.00"
"3","4792055021005","Чай чорний Chelton paradise 25пак","51.00","25.49","64.00","0","3.00","153.00","192.00"
"4","4820015835468","Чай Batik Earl grey тубус 90г","64.00","25.00","80.00","0","1.00","64.00","80.00"
"5","4820053771872","Чай Каркаде 70г ТМ Гокал","26.00","35.00","35.00","0","4.00","104.00","140.00"
"6","4820097813118","Чай зел. Экслюзив  90 г. Мономах","64.00","25.00","80.00","0","2.00","128.00","160.00"
"7","4820097818342","Чай Monomax 1001ніч 25п чорн. і зелен. з виногр.","47.00","30.00","62.00","0","5.00","235.00","310.00"
"8","4820149481210","Чай Edems Big Leaf 70г","45.00","30.00","60.00","0","2.00","90.00","120.00"
"9","4820149487274","Чай едемс барбарис гібіскус зі шматочками 100 г","62.00","30.00","80.00","0","1.00","62.00","80.00"
"10","4820149487281","Чай едемс папая манго 100 г","62.00","30.00","80.00","0","0.00","0.00","0.00"
"11","4820171915677","Чай Аскольд 20*2г з/я 1000і1 ніч","52.00","25.00","65.00","0","2.00","104.00","130.00"
"12","4820182787621","Зелений чай з мелісою Magic Moon 25пак","37.00","24.32","46.00","0","0.00","0.00","0.00"
"13","4820198870126","Чай Monomax 1001ніч 90г чорн.і зелен. з виноград.","69.00","25.71","87.00","0","3.00","207.00","261.00"
"14","4820198870683","Чай Мономах Champagne Moment чорн. та зелен. 80г","63.00","25.71","88.00","0","2.00","126.00","176.00"
"15","4820198870812","Чай Мономах 25*1,5г Champagne Moment черн.с землян.","47.00","30.00","62.00","0","6.00","282.00","372.00"
"16","4820198874186","Чай Ловаре НАБОР Bouquet 30шт","136.00","35.00","184.00","0","1.00","136.00","184.00"
"17","4820198879648","Чай Ловаре Black tea асорті 32 пак","100.00","25.00","125.00","0","0.00","0.00","0.00"
"18","4820198879655","Чай ловаре Green tea асорті 32 пак","100.00","25.00","125.00","0","1.00","100.00","125.00"
"19","4820198879686","Чай чорн. Асорті flower tea 32пак.","100.00","25.00","125.00","0","0.00","0.00","0.00"
"20","4820198879822","Ловарел чай чорний Bergamot assorted  32пак.","100.00","25.00","125.00","0","1.00","100.00","125.00"
"21","4820202860396","Чай каркаде Flagman 80г","26.00","23.08","32.00","0","0.00","0.00","0.00"
"22","4820275500076","Чай чорний ""Бергамотовий букет"" 25пак Batik","57.00","24.56","71.00","0","0.00","0.00","0.00"
