"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","480087820423","Чіпси санчо з куркою 40 г","11.69","40.00","16.00","0","6.00","70.14","96.00"
"2","4820007052446","Чіпси картопляні Золотисті зі смаком сиру ( пластини)","19.14","60.00","30.00","0","7.00","133.98","210.00"
"3","4820007052453","Чіпси картопл ""Сметана зелень"" 100г","0.01","50.00","30.00","0","0.00","0.00","0.00"
"4","4820087820393","Чіпси ""Сачно"" зі смаком бекону 40г.","0.01","35.00","16.00","0","2.00","0.02","32.00"
"5","4820087820409","Чіпси санчо з сиром 40 гр","11.69","35.00","16.00","0","0.00","0.00","0.00"
"6","4820087820430","Чіпси ""Санчо"" з сметаною і зеленю 40 гр.","11.69","35.00","16.00","0","5.00","58.45","80.00"
"7","4820087820508","Чіпси ""Санчо"" зі смаком шашлику 40г.","11.69","35.00","16.00","0","1.00","11.69","16.00"
"8","4820182061622","Чіпси пластина Хрум Сир 50гр.","17.58","40.00","25.00","0","1.00","17.58","25.00"
"9","4820182061639","Чіпси HROOM зі смаком сметани та зелені 50 гр","17.58","50.00","27.00","0","3.00","52.74","81.00"
"10","4820182061646","Чипсы пластина Хрум краб 50гр к.1310","17.58","40.00","25.00","0","1.00","17.58","25.00"
"11","4820182061653","Картопляні чипси пластинки зі смаком ""Бекон"" ТМ ""Hroom"" 50г","17.58","50.00","27.00","0","0.00","0.00","0.00"
"12","4820182741852","Чіпси Чіптерс натуралн. зі смаком бекона 130 гр.","46.00","30.43","60.00","0","0.00","0.00","0.00"
"13","4820182748714","Чіпси чіпстерс «Гриби  з вершковим соусом» 110г","46.00","30.43","60.00","0","0.00","0.00","0.00"
"14","4823063116640","Краб 25г Чіпси Lays stripe","14.70","40.00","22.00","0","11.00","161.70","242.00"
"15","4823063116664","Чіпси картопляні ""Lays"" 25 г зі смаком сметани та зелені","14.70","33.33","22.00","0","12.00","176.40","264.00"
"16","4823063125239","Чіпси lays сметана і зелень 60г","28.46","31.25","46.00","0","8.00","227.68","368.00"
"17","4823063125253","Сметана-Зелень 120г Чіпси Lays (PL)","52.89","29.89","77.00","0","1.00","52.89","77.00"
"18","4823063125277","Чіпси лейс сметана-зелень 170 г","70.79","39.85","99.00","0","0.00","0.00","0.00"
"19","4823063125291","Краб 60г Чіпси Lays UA","28.46","35.00","46.00","0","7.00","199.22","322.00"
"20","4823063125314","Краб 120г Чіпси Lays (PL)","52.89","29.89","77.00","0","0.00","0.00","0.00"
