"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","20717994","Колготи капрони comfort 20 den","60.00","33.33","80.00","0","0.00","0.00","0.00"
"2","2110202103183","Капрони Pantera victoriana 3 розмір натурель","35.00","42.86","50.00","0","1.00","35.00","50.00"
"3","2110202104180","Капрони Pantera victoriana 4 розмір натурель","35.00","42.86","50.00","0","2.00","70.00","100.00"
"4","2110202105187","Капрони Pantera victoriana 5 розмір натурель","35.00","42.86","50.00","0","1.00","35.00","50.00"
"5","2140202103203","Капрони Pantera victoriana 3 розмір фумо","35.00","42.86","50.00","0","0.00","0.00","0.00"
"6","2140202104200","Капрони Pantera victoriana 4 розмір fumo","35.00","42.86","50.00","0","1.00","35.00","50.00"
"7","2160202104215","Капрони Pantera victoriana 4 розмір Nero","35.00","42.86","50.00","0","1.00","35.00","50.00"
"8","4820141320012","Шкарпетки чоловічі довгі грубі IPIC-B","25.00","40.00","35.00","0","1.00","25.00","35.00"
"9","4823121000256","Шкарпетки чоловічі Л&П","22.00","59.09","35.00","0","0.00","0.00","0.00"
"10","4823121007118","Колготи капрони Інстінг 20 ден 3 тіл","73.00","60.00","117.00","0","0.00","0.00","0.00"
"11","4823121007132","Колготи капрони Інстінг 20 ден 4 шокол","73.00","60.00","117.00","0","1.00","73.00","117.00"
"12","4823121007156","Колготи капрони Інстінг 20 ден 4 чор","73.00","60.00","117.00","0","2.00","146.00","234.00"
"13","4823121007170","Колготи капрони Інстінг 20 ден 5 тілес","73.00","60.00","117.00","0","2.00","146.00","234.00"
"14","4823121007187","Колготи капрони Інстінг 20 ден 5 чор","73.00","60.00","117.00","0","3.00","219.00","351.00"
"15","6930172200431","носки безрозмерни телесни","5.00","140.00","12.00","0","0.00","0.00","0.00"
"16","6944963922075","Колготи SoftSail для хлопч.Thermo 104-116","45.00","33.33","60.00","0","2.00","90.00","120.00"
"17","6948687800152","Носки жін капрон тіл.чор","4.60","100.00","12.00","0","26.00","119.60","312.00"
"18","6958689404074","Носки чол короткі Натал НА 033","20.00","100.00","40.00","0","9.00","180.00","360.00"
"19","6971341271081","Носки чол довгі Фена ТА 1008","24.00","100.00","48.00","0","2.00","48.00","96.00"
"20","6971341273184","Носочки дитячі 20-25р Фенна","20.00","75.00","35.00","0","1.00","20.00","35.00"
"21","6971341275010","носки чол сер фена","23.00","55.00","36.00","0","10.00","230.00","360.00"
"22","6971341275072","носки чол довгі фена","27.00","55.00","42.00","0","10.00","270.00","420.00"
"23","6971493471674","Шкарпетки дитячі Термо Алия асорт.","20.00","75.00","35.00","0","10.00","200.00","350.00"
"24","6971493474262","Носки капронові чорні","5.00","140.00","12.00","0","0.00","0.00","0.00"
"25","6972576871213","Чоловічі шкарпетки Корона слорт 41-47 Ay121-3","30.00","50.00","45.00","0","0.00","0.00","0.00"
"26","6972576871435","Чоловічі шкарпетки середні Корона AY143-1","30.00","50.00","45.00","0","0.00","0.00","0.00"
"27","6972576872449","Носки корона бамбук  AY244-1","34.96","50.00","52.00","0","0.00","0.00","0.00"
"28","6972576872623","Жіночі шкарпетки Корона слорт 37-41 асорт","35.00","34.29","47.00","0","0.00","0.00","0.00"
"29","7700000010858","Шкарпетки чоловічі Назарій чорні","12.00","108.33","25.00","0","0.00","0.00","0.00"
"30","7700000010919","Чоловічі шкарпетки Житомир асорт","13.65","59.09","30.00","0","8.00","109.20","240.00"
"31","7700000010926","Шкарпетки жіночі IRISSOCKS","25.00","40.00","35.00","0","2.00","50.00","70.00"
"32","7700000011114","Капрони Pantera graciana","35.00","42.86","50.00","0","4.00","140.00","200.00"
"33","7700000012418","Носки чол Корона 1642","27.00","100.00","54.00","0","10.00","270.00","540.00"

