"N","Код","Найменування","Собіварт.","Націнка","Ціна","Ш/В/С","К-сть","Сума 1","Сума 2"
"1","3800020491478","Шоколад double chocolate кіткат 99г","76.00","25.00","95.00","0","0.00","0.00","0.00"
"2","4000415831905","Шоколад попкорн schogetten 100g","40.00","25.00","50.00","0","0.00","0.00","0.00"
"3","4000607002922","Шоколад Шогетен зі смаком полуниці","58.00","35.00","80.00","0","0.00","0.00","0.00"
"4","4000607002960","Шоколад Schogetten горіх 116 г","58.00","35.00","80.00","0","1.00","58.00","80.00"
"5","4000607002984","Шоколад Schogetten 116,6 g Німеччина","58.00","35.00","80.00","0","1.00","58.00","80.00"
"6","40084701","Шоколад молочний ""Kinder Chocolate"" з молочною начинкою, 100 г.","61.30","35.00","83.00","0","1.00","61.30","83.00"
"7","4820005193059","Шоколад ""Мілленіум"" голд, молочний з цілим горіхом","57.80","35.00","83.00","0","7.00","404.60","581.00"
"8","4820005193073","Шоколад ""Мілленіум"" голд, чорний з цілим горіхом","57.80","35.00","83.00","0","5.00","289.00","415.00"
"9","4820005193097","Millennium Шоколад Gold  Білий-Цілий горіх-Клюква 100г","59.50","35.00","80.00","0","0.00","0.00","0.00"
"10","4820005195848","Шоколад Мілленніум 100г 80% Фейворіт брут екстра чорн.","84.25","35.00","114.00","0","0.00","0.00","0.00"
"11","4820112360887","1806321000^ Old collection шоколад молоч 200г Лісовий горіх БШ","175.44","40.00","246.00","0","1.00","175.44","246.00"
"12","4820112362331","1806321000^ Old collection шоколад молоч 200г Мигдаль БШ","165.98","40.00","232.00","0","2.00","331.96","464.00"
"13","4820112362881","Old collection шоколад молочний 200г Мигдаль-Родзинки БШ","158.98","40.00","223.00","0","0.00","0.00","0.00"
"14","4820186340136","Крем чокофіні з шоколадно-горіховим смаком 400 Україна","67.00","30.00","88.00","0","4.00","268.00","352.00"
"15","4820208382861","Спартак 1.2кг Really Enjoy","300.80","8.38","326.00","1","0.00","0.00","0.00"
"16","4820211880910","Глазур кондитер. Августино чорна з аромат. вишни 1кг","173.00","30.06","225.00","1","0.86","148.78","193.50"
"17","4820211881511","Десерт молочний з арахісом Dessert 80г","18.00","22.22","22.00","0","0.00","0.00","0.00"
"18","4820211883072","Десерт молочний з кокосом Dessert 80г","18.00","22.22","22.00","0","0.00","0.00","0.00"
"19","4820240030720","Шоколад MILLENIUM ""Air Chocolate"" пористий білий 90г","42.25","35.71","58.00","0","0.00","0.00","0.00"
"20","4820240030744","Шоколад Millennium Premium молочний пористий 85г","42.25","35.71","57.00","0","0.00","0.00","0.00"
"21","4820240030768","Шоколад ""Milennium"" пористий чорний 85 г.","42.25","35.00","58.00","0","0.00","0.00","0.00"
"22","4820240031529","Шоколад Міленіум Голд молочний з цілим мигдалем та родзинками 100г","60.00","35.00","81.00","0","0.00","0.00","0.00"
"23","4820240035688","Шоколад міленіум арахіс цілий 270г","99.80","35.00","140.00","0","0.00","0.00","0.00"
"24","4820240035701","Шоколад very Peri 270г горіх печиво","92.90","35.00","150.00","0","5.00","464.50","750.00"
"25","4820240035817","Шоколад міленіум Вері пері арахіс 105 г","41.05","40.00","60.00","0","0.00","0.00","0.00"
"26","4820240035831","шоколад  ""Millennium Very Peri"" 105г","41.05","35.00","60.00","0","0.00","0.00","0.00"
"27","4820240037552","шоколад джой джой 45","21.50","40.00","30.00","0","0.00","0.00","0.00"
"28","4820240037583","шоколад джой джой 90","41.60","40.00","58.00","0","3.00","124.80","174.00"
"29","4820240038665","Шоколад ""Millenium la creme edition"" молочний малина 100г","54.00","25.93","68.00","0","0.00","0.00","0.00"
"30","4820240038689","Шоколад ""Millenium la creme edition"" молочний вишня 100г","54.00","25.93","68.00","0","1.00","54.00","68.00"
"31","4823000917316","Шоколад 90 гр СВІТОЧ десерт трюфель чорный","61.00","24.59","76.00","0","1.00","61.00","76.00"
"32","4823000917378","Шоколад ""Світоч"" Десерт чор. Тирамису 85 г","61.00","24.59","76.00","0","4.00","244.00","304.00"
"33","4823000917514","Шоколад СВІТОЧ смак полуничного йогурту мол. шок. 90г.","61.00","24.59","76.00","0","0.00","0.00","0.00"
"34","4823000920453","-Шоколад *Світоч* Авторський Класичний Чорний 85г.","72.00","24.59","90.00","0","0.00","0.00","0.00"
"35","4823077621154","Шоколадний батон з начинкою ""Рошен"" 43г","20.00","20.00","25.00","0","3.00","60.00","75.00"
"36","4823077626203","Шоколад РОШЕН ""Dark Bubble Chocolate"" 80г","39.35","38.46","54.00","0","8.00","314.80","432.00"
"37","4823077626227","Шоколад ""Рошен"" пористий молочний 80г","39.35","38.46","54.00","0","8.00","314.80","432.00"
"38","4823077626364","Шоколад рошен білий  пористий 80 г","39.35","40.00","58.00","0","3.00","118.05","174.00"
"39","4823077629495","Шоколад молочний Лакмі з арахісом ,арахісовою начинкою та карамеллю 290","120.00","35.00","162.00","0","0.00","0.00","0.00"
"40","4823077633171","ШОКОЛАД МОЛОЧНИЙ LACMI з МОЛОЧН НАЧ і ПЕЧЕНЯМ 100Г","41.50","34.94","56.00","0","0.00","0.00","0.00"
"41","4823077633188","Шоколад Ласті молочний з вафлею 90гр","43.00","30.23","56.00","0","0.00","0.00","0.00"
"42","4823077633195","Шоколад рошен молоч+вафля 105 г","39.35","35.00","56.00","0","3.00","118.05","168.00"
"43","4823077638824","Шоколад лакмі 280г кокос","120.00","35.00","162.00","0","0.00","0.00","0.00"
"44","4823077639494","Шок Рошен Полуниця 90г","39.35","34.94","56.00","0","3.00","118.05","168.00"
"45","4823077639562","Шок Рошен Лакмі Карамель Арахіс 90 г","41.45","30.00","56.00","0","0.00","0.00","0.00"
"46","4823077639579","Шоколад Лакмі з начинкою зі смаком полуниці 295г Рошен","140.95","35.00","190.00","0","0.00","0.00","0.00"
"47","4823077645921","Шок Рошен Лакмі Кокос 90 г","41.40","35.00","56.00","0","0.00","0.00","0.00"
"48","5319990256263","Шоколад дебі полуниця 90 г","19.15","40.00","27.00","0","4.00","76.60","108.00"
"49","5319990256270","Шоколад кокос Deby leona","19.00","22.73","26.00","0","0.00","0.00","0.00"
"50","5319990256287","Шок Леона горіх 90г","19.00","36.84","26.00","0","2.00","38.00","52.00"
"51","5900910009856","Паста шоколадна Chocofini 400г.Польша","65.00","30.77","85.00","0","0.00","0.00","0.00"
